sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
207,山紅頭,S-01,Cyanoderma ruficeps,1897,2265
208,小啄木,C-01,Dendrocopos canicapillus,1863,7715
212,深山鶯,C-01,Horornis acanthizoides,3495,8970
213,青背山雀,S-01,Parus monticolus,3560,4643
214,深山鶯,S-01a,Horornis acanthizoides,4870,5636
215,紅頭山雀,C-01,Aegithalos concinnus,5300,8801
223,灰頭鷦鶯,S-01,Prinia flaviventris,2087,8133
228,頭烏線,S-01,Schoeniparus brunneus,2284,3692
232,白眉林鴝,S-01,Tarsiger indicus,2451,4456
235,斯氏繡眼,C-02,Zosterops simplex,3932,6148
238,灰腳秧雞,S-01,Rallina eurizonoides,524,1345
240,中國樹蟾,S-01,Hyla chinensis,1733,5098
244,腹斑蛙,S-01,Babina adenopleura,522,3435
245,福建大頭蛙,S-01,Limnonectes fujianensis,285,1577
246,澤蛙,S-01,Fejervarya kawamurai,1060,4060
247,長腳赤蛙,S-01,Rana longicrus,771,1767
248,梭德氏赤蛙,S-01,Pseudoamolops sauteri,1293,3836
249,周氏樹蛙,S-01,Buergeria choui,1580,5902
250,褐樹蛙,S-01,Buergeria robusta,1032,3507
251,艾氏樹蛙,S-01,Kurixalus eiffingeri,2304,4418
252,面天樹蛙,S-01,Kurixalus idiootocus,2194,2526
253,斑腿樹蛙,S-01,Polypedates megacephalus,161,5204
256,莫氏樹蛙,S-01,Rhacophorus moltrechti,929,1648
257,翡翠樹蛙,S-01,Rhacophorus prasinatus,860,1797
258,臺北樹蛙,S-01,Rhacophorus taipeianus,1130,2175
261,黑眶蟾蜍,S-01,Duttaphrynus melanostictus,1343,2290
262,虎皮蛙,S-01,Hoplobatrachus rugulosus,435,2504
263,貢德氏赤蛙,S-01,Hylarana guentheri,180,3226
264,小雨蛙,S-01,Microhyla fissipes,947,4013
266,拉都希氏赤蛙,S-01,Hylarana latouchii,687,3610
268,斯文豪氏赤蛙,S-01,Odorrana swinhoana,1622,5060
272,海蟾蜍,S-01,Rhinella marina,268,1080
274,布氏樹蛙,S-01,Polypedates braueri,546,4027
278,太田樹蛙,S-01,Buergeria otai,2551,3517
279,臺灣山鷓鴣,S-01,Arborophila crudigularis,991,1940
280,臺灣山鷓鴣,S-02,Arborophila crudigularis,1246,1682
283,白面鼯鼠,S-01,Petaurista alborufus,1031,4086
286,鷹斑鷸,C-01,Tringa glareola,2813,4345
290,鳳頭蒼鷹,S-01,Accipiter trivirgatus,2898,4389
292,長吻松鼠,C-01,Dremomys pernyi,958,7034
294,領角鴞,S-02,Otus lettia,409,1380
297,松雀鷹,C-01,Accipiter virgatus,3059,4270
298,藍腹鷴,U-01,Lophura swinhoii,537,1436
299,藍腹鷴,U-02,Lophura swinhoii,2363,7571
300,黑長尾雉,U-01,Syrmaticus mikado,322,1374
303,赤腹松鼠,C-01,Callosciurus erythraeus,1451,1968
307,白腹秧雞,S-01,Amaurornis phoenicurus,691,1249
308,白腹秧雞,S-02,Amaurornis phoenicurus,682,1108
313,紅冠水雞,C-01,Gallinula chloropus,1096,3564
314,灰林鴿,S-01,Columba pulchricollis,141,457
315,金背鳩,S-01,Streptopelia orientalis,298,606
316,紅鳩,S-01,Streptopelia tranquebarica,368,654
317,翠翼鳩,S-01,Chalcophaps indica,332,552
320,綠鳩,S-01,Treron sieboldii,650,1044
323,番鵑,S-01,Centropus bengalensis,622,1135
324,冠羽畫眉,S-01,Yuhina brunneiceps,2063,5033
325,綠啄木,S-01,Picus canus,1955,2556
326,綠啄木,O-01,Picus canus,415,2156
330,家燕,C-01,Hirundo rustica,2658,5768
332,家燕,C-02,Hirundo rustica,3183,5893
333,洋燕,C-01,Hirundo tahitica,2041,6851
334,東方毛腳燕,C-01,Delichon dasypus,2996,5779
335,赤腰燕,C-01,Cecropis striolata,2493,4521
337,灰喉山椒,U-01,Pericrocotus solaris,4206,6837
338,白環鸚嘴鵯,S-01,Spizixos semitorques,1700,4056
340,白頭翁,S-01,Pycnonotus sinensis,1469,3704
342,白頭翁,C-01,Pycnonotus sinensis,1697,4357
347,棕背伯勞,C-01,Lanius schach,1650,5259
349,河烏,C-01,Cinclus pallasii,3680,5231
351,鷦鷯,S-01,Troglodytes troglodytes,3435,8501
354,岩鷚,C-01,Prunella collaris,2698,4903
357,鉛色水鶇,S-01,Phoenicurus fuliginosus,3138,7801
361,白尾鴝,S-01,Myiomela leucura,2913,4919
362,白尾鴝,C-01,Myiomela leucura,4279,4640
365,黃胸青鶲,S-01,Ficedula hyperythra,5123,7845
367,黃腹琉璃,S-01,Niltava vivida,3124,5400
369,臺灣紫嘯鶇,C-01,Myophonus insularis,3154,5850
371,白氏地鶇,S-01,Zoothera aurea,2184,2501
373,白頭鶇,C-01,Turdus niveiceps,1496,2847
374,小翼鶇,S-01,Brachypteryx goodfellowi,1493,5817
375,褐頭花翼,S-01,Fulvetta formosana,4043,6502
378,煤山雀,S-01,Periparus ater,3848,6519
381,草鴞,C-01,Tyto longimembris,1723,2524
382,智人,rooster,Homo sapiens,474,1707
383,白鶺鴒,C-01,Motacilla alba,3184,7223
386,粉紅鸚嘴,C-02,Sinosuthora webbiana,3634,5048
387,黃羽鸚嘴,C-01,Suthora verreauxi,3693,6468
391,黑喉噪眉,S-01,Ianthocincla chinensis,1040,2073
396,棕噪眉,S-01,Ianthocincla poecilorhyncha,1402,2242
401,紋翼畫眉,C-01,Actinodura morrisoniana,2748,8696
402,紋翼畫眉,U-01,Actinodura morrisoniana,2189,2981
410,棕扇尾鶯,S-01,Cisticola juncidis,4490,4862
412,黃頭扇尾鶯,S-01a,Cisticola exilis,1466,7798
416,斑紋鷦鶯,S-01,Prinia crinigera,2882,7510
419,褐頭鷦鶯,S-01,Prinia inornata,3629,5832
422,火冠戴菊鳥,S-01,Regulus goodfellowi,7659,10162
430,赤腹山雀,S-01,Sittiparus castaneoventris,5802,8258
431,赤腹山雀,C-01,Sittiparus castaneoventris,6124,8740
432,茶腹鳾,S-01,Sitta europaea,2703,3807
437,茶腹鳾,C-03,Sitta europaea,6161,9494
438,綠啄花,S-01,Dicaeum minullum,5703,8000
441,紅胸啄花,S-01,Dicaeum ignipectus,4697,8712
446,臺灣朱雀,C-01,Carpodacus formosanus,5549,6701
448,褐鷽,S-01,Pyrrhula nipalensis,2161,4637
