sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
59,ºñµe¬Ü,Ca-01,Erpornis zantholeuca,1968,7953
60,ºñµe¬Ü,S-01,Erpornis zantholeuca,0,10000
61,ºñµe¬Ü,U,Erpornis zantholeuca,0,10000
62,¾¸ÃY,C-01,Eudynamys scolopaceus,956,2469
63,¾¸ÃY,S-01,Eudynamys scolopaceus,959,1820
64,¾¸ÃY,U-01,Eudynamys scolopaceus,0,10000
65,ï¢ö¿,C-01,Glaucidium brodiei,831,1204
66,ï¢ö¿,S-01,Glaucidium brodiei,829,1228
67,¤pÅa,S-01,Horornis fortipes,1742,5077
68,¤pÅa,U,Horornis fortipes,0,10000
69,¤pÅa,U-01,Horornis fortipes,0,10000
70,¶ÂªEÂÅöÈ,C-01,Hypothymis azurea,2241,4807
71,¶ÂªEÂÅöÈ,Ca-01,Hypothymis azurea,1258,7602
72,¶ÂªEÂÅöÈ,S-01,Hypothymis azurea,2261,5884
73,¶ÂªEÂÅöÈ,S-02,Hypothymis azurea,2212,5931
74,¶ÂªEÂÅöÈ,S-03,Hypothymis azurea,0,10000
75,¶ÂªEÂÅöÈ,U,Hypothymis azurea,0,10000
76,¬õ¼L¶Âóí,C-01,Hypsipetes leucocephalus,3524,5124
77,¬õ¼L¶Âóí,S-01,Hypsipetes leucocephalus,0,10000
78,¬õ¼L¶Âóí,U-01,Hypsipetes leucocephalus,2661,6175
79,¬õ¼L¶Âóí,U-02,Hypsipetes leucocephalus,2692,4702
80,¬õ¼L¶Âóí,U-03,Hypsipetes leucocephalus,1502,7348
81,¬õ¼L¶Âóí,U-04,Hypsipetes leucocephalus,1687,6025
82,¬õ¼L¶Âóí,U-05,Hypsipetes leucocephalus,0,10000
83,¬õ¼L¶Âóí,U-06,Hypsipetes leucocephalus,0,10000
84,ªLóç,S-01,Ictinaetus malaiensis,1725,2618
85,¬õ§À§B³Ò,C-01,Lanius cristatus,0,10000
86,¬õ§À§B³Ò,C-02,Lanius cristatus,0,10000
87,¬õ§À§B³Ò,S-01,Lanius cristatus,0,10000
88,½ÅÆNì¦,S-01,Ninox japonica,410,813
89,¦¶ùÏ,Ca-01,Oriolus traillii,620,3674
90,¦¶ùÏ,Cb-01,Oriolus traillii,846,3973
91,¦¶ùÏ,Cc-01,Oriolus traillii,853,9851
92,¦¶ùÏ,Cd-01,Oriolus traillii,735,8594
93,¦¶ùÏ,Sa-01,Oriolus traillii,432,957
94,ÄõÀ¬¨¤ì¦,D-01,Otus elegans,582,1292
95,ÄõÀ¬¨¤ì¦,S-01,Otus elegans,464,1358
96,ÄõÀ¬¨¤ì¦,U-01,Otus elegans,0,10000
97,»â¨¤ì¦,C-01,Otus lettia,4314,10489
98,»â¨¤ì¦,S-01,Otus lettia,429,1071
99,»â¨¤ì¦,U,Otus lettia,447,1125
100,¶À¼L¨¤ì¦,C-01,Otus spilocephalus,1233,1834
101,¶À¼L¨¤ì¦,S-01,Otus spilocephalus,1358,1748
102,¶À¼L¨¤ì¦,U-01,Otus spilocephalus,1287,3273
103,¶À§Àì©,C-01,Phoenicurus auroreus,4672,6200
104,¶À§Àì©,C-02,Phoenicurus auroreus,0,10000
105,¤j«aøl,S-01,Spilornis cheela,1332,2035
106,µu§ÀÅa,S-01,Urosphena squameiceps,7605,9775
107,µu§ÀÅa,Ca-01,Urosphena squameiceps,4579,9338
108,¤j«aøl,U-01,Spilornis cheela,0,10000
109,¤j«aøl,U-02,Spilornis cheela,2314,2870
110,¯]ÀV´³¹§,S-01,Streptopelia chinensis,466,1039
111,¤j¨ª°Ö¤ì,C-01,Dendrocopos leucotos,2830,4598
112,¤j¨ª°Ö¤ì,O-01,Dendrocopos leucotos,300,2480
113,½ÅªLì¦,C-01,Strix leptogrammica,568,1778
114,½ÅªLì¦,C-02,Strix leptogrammica,1258,2620
115,½ÅªLì¦,S-01,Strix leptogrammica,228,582
116,ªF¤è¦ÇªLì¦,S-01,Strix nivicolum,320,769
117,¤p??,U-01,Tachybaptus ruficollis,0,10000
118,¶À¯ÝÃÁ¬Ü,Ca-01,Liocichla steerii,2005,7451
119,¶À¯ÝÃÁ¬Ü,Cc-01,Liocichla steerii,0,10000
